street,street_num,letter,X,Y
VIA G. PAOLUCCI,3,,1436782.060000000055879,5451377.309999999590218
VIA DELLE ESPOSIZIONI,10,,1430233.069999999832362,5450260.599999999627471
STRADA ROMAGNA,181,,1428188.969999999972060,5456394.540000000037253
VIA SCHIAVINI,14,,1437087.149999999906868,5451991.200000000186265
STRADA DEL CASTAGNETO,26,,1436853.189999999944121,5446376.410000000149012
VIA LAGO DI GARDA,27,,1429297.850000000093132,5444753.449999999254942
VIA A. ANGELI,5,,1435745.610000000102445,5452610.580000000074506
VIALE ZARA,11,,1437624.970000000204891,5452093.019999999552965
STRADA DEI TREPONTI,96,"2",1427931.340000000316650,5453093.379999999888241
VIA GRADARA,8,"1",1435192.959999999962747,5450789.360000000335276
VIA A. COSTA,219,,1436096.030000000027940,5449205.099999999627471
VIA AMALFI,9,,1436648.979999999981374,5452733.769999999552965
STRADA CIMITERO TREBBIANTICO,3,"1",1440662.530000000027940,5444967.230000000447035
VIALE G. POSTUMO,40,,1438183.179999999934807,5451165.400000000372529
VIA P. COLLENUCCIO,10,,1437604.479999999981374,5451643.320000001229346
VIA CAMPANIA,27,,1433949.060000000055879,5450293.270000000484288
CORSO UNDICI SETTEMBRE,216,,1436837.540000000037253,5451830.089999999850988
VIALE DANTE ALIGHIERI,33,,1437616.300000000046566,5452274.490000000223517
VIA MILANO,6,,1435550.149999999906868,5451569.370000000111759
VIALE RIMEMBRANZA,13,"1",1434641.879999999888241,5443337.370000000111759
VIA VINCENZO ROSSI,53,"1",1436992.419999999925494,5450350.849999999627471
VIALE A. GRAMSCI,6,,1437540.370000000111759,5451181.879999999888241
VIA G. FILANGIERI,47,"1",1438602.510000000009313,5450101.160000000149012
VIA GUIDO DAREZZO,7,,1435131.179999999934807,5449232.009999998845160
STRADA FORNACE MANCINI,14,,1431743.919999999692664,5452633.009999999776483
VIA D. MANIN,3,,1436989.790000000037253,5452230.759999999776483
VIA G. FILANGIERI,81,,1438716.030000000027940,5449789.049999999813735
STRADA ROMAGNA,221,,1427414.700000000186265,5456605.049999999813735
VIA CANALE,10,,1436517.500000000000000,5452418.530000000260770
VIA VELINO,68,,1432851.310000000055879,5451539.540000000037253
STRADA TIMAVO,10,,1432700.510000000009313,5451287.339999999850988
VIA DEI MANDORLI,10,,1428423.820000000065193,5449414.190000000409782
VIA G. FERRARIS,54,,1438203.600000000093132,5449418.910000000149012
VIA E. TAZZOLI,2,,1437235.800000000279397,5450480.169999999925494
VIA A. CICOGNANI,20,,1435872.380000000121072,5450137.919999999925494
VIA Q. SELLA,64,,1437317.680000000167638,5449800.599999999627471
VIA G. SCHIAPARELLI,4,A,1438742.350000000093132,5449585.929999999701977
VIA A. AVOGADRO,26,,1438647.929999999934807,5449300.440000000409782
VIA S. ARDUINI,5,,1438653.149999999906868,5448598.809999999590218
VIA E. BRIZIO,11,,1439488.489999999990687,5443548.950000000186265
STRADA TREBBIO SCONFITTA,20,"7",1433424.330000000074506,5443376.679999999701977
VIALE G. PICCIOLA,44,,1437997.060000000055879,5451173.859999999403954
STRADA DEI PLATANI,28,"6",1431661.530000000027940,5450330.519999999552965
VIA DEL TEATRO,16,,1436995.800000000279397,5451227.259999999776483
VIA L. GASPARRI,4,,1438340.370000000111759,5450772.629999999888241
VIA VENTURINI,66,,1436996.610000000102445,5451336.219999999739230
VIA ABBATI,55,"1",1437380.919999999925494,5451130.040000000037253
STRADA FOSSO FOGLIANO,11,E,1434500.360000000335276,5447998.179999999701977
VIA P. FASTIGGI,186,,1432457.560000000055879,5447296.089999999850988
PIAZZA DEL MONTE,9,,1437111.820000000065193,5451422.769999999552965
VIA LAGO DI LUGANO,12,,1428327.469999999972060,5444320.490000000223517
VIA U. FOSCOLO,12,,1437815.479999999981374,5451074.709999999962747
VIA D. PAOLI,36,,1438765.879999999655411,5450264.790000000037253
VIA GIORDANO BRUNO,54,,1437318.820000000065193,5451224.740000000223517
VIA C. CATTANEO,37,,1437254.489999999990687,5451146.929999999701977
VIA A. PONCHIELLI,39,,1435655.979999999981374,5449986.679999999701977
VIA FLAMINIA,232,,1438386.089999999850988,5449478.799999999813735
VIA MADONNA DI LORETO,41,,1437654.719999999972060,5449875.929999999701977
VIA A. COSTA,119,,1436213.040000000037253,5449833.410000001080334
VIALE NAPOLI,9,,1436701.979999999981374,5452691.719999999739230
VIA CONCA,5,,1432681.530000000260770,5451825.240000000223517
VIA MENTANA,49,,1436749.939999999944121,5451660.849999998696148
VIA P. PETRUCCI,66,,1437026.159999999916181,5451576.549999999813735
STRADA DI CAPRILINO,1,"2",1433359.280000000027940,5451729.809999999590218
STRADA MADONNA DEI MAZZA,8,,1438307.080000000074506,5444791.919999999925494
STRADA ROMAGNA,225,,1427407.419999999925494,5456608.019999999552965
VIA VOLTURNO,8,,1431184.820000000065193,5453137.679999999701977
VIA G. ONDEDEI,18,,1436088.300000000046566,5452763.540000000037253
VIA S. FRANCESCO,42,,1437606.959999999962747,5451388.030000000260770
VIA A. RUGGERI,3,,1438292.320000000065193,5450287.839999999850988
VIA E. MORINI,11,,1436540.679999999934807,5449307.580000001005828
VIA S. SONNINO,19,,1436854.889999999897555,5449029.519999999552965
STRADA PANORAMICA ADRIATICA,149,,1435709.379999999888241,5452868.929999999701977
STRADA FORNACE MANCINI,18,,1431735.840000000083819,5452617.120000000111759
VIA G. ONDEDEI,39,,1436002.350000000093132,5452774.779999999329448
VIA SOLFERINO,40,"1",1435976.909999999916181,5449995.559999999590218
STRADA DI MONTEFELTRO,82,,1425300.860000000102445,5446166.610000000335276
VIA L. TOMASINI,20,,1437197.500000000000000,5448470.269999999552965
VIA ARNO,57,,1432130.360000000102445,5453067.910000001080334
VIA E. MANCINI,161,,1437115.570000000298023,5449666.629999999888241
STRADA GHETTO TREBBIANTICO,39,"2",1441156.129999999888241,5446326.330000000074506
VIA SOTTO LA ROCCHETTA,2,,1436996.590000000316650,5452204.629999999888241
VIA D. PERUZZINI,9,,1437223.649999999906868,5449260.790000000037253
VIA P. FASTIGGI,323,,1432172.550000000046566,5447144.589999999850988
VIA DELLA CAPINERA,85,,1440619.669999999925494,5447860.429999999701977
STRADA GHETTO RONCAGLIA,7,,1429672.740000000223517,5454112.820000000298023
VIA E. MORINI,65,,1436246.120000000111759,5449370.440000000409782
VIA MONTE AMIATA,28,,1425427.489999999990687,5446695.769999999552965
VIA BURANO,4,,1431996.239999999990687,5452454.150000000372529
VIALE DELLA VITTORIA,208,,1437411.879999999888241,5452231.750000000000000
VIA G. FULVI,14,,1432764.820000000065193,5447982.580000000074506
VIA R. SERRA,5,,1433470.030000000027940,5447666.990000000223517
STRADA G. M. LANCISI,140,,1423418.550000000279397,5447422.059999999590218
VIA L. AGOSTINI,15,,1436203.070000000065193,5451942.190000000409782
VIA LAMBRO,9,,1432172.879999999888241,5451812.610000000335276
VIA A. LAMARMORA,4,,1436467.139999999897555,5450264.660000000149012
VIA M. PATERNI,51,,1436935.649999999906868,5452698.459999999962747
VIA LIGURIA,20,,1433680.479999999981374,5450049.200000000186265
VIA A. COSTA,75,,1436280.060000000055879,5450025.129999999888241
STRADA DI MONTEBACCHINO,41,,1427741.330000000074506,5454845.849999999627471
VIA BASSANO GRAPPA,86,,1432940.020000000018626,5451909.650000000372529
CORSO UNDICI SETTEMBRE,142,,1437080.790000000037253,5451823.570000000298023
VIA F. COMMANDINO,1,,1438313.689999999944121,5449752.599999999627471
STRADA ROMAGNA,25,,1432326.439999999944121,5452191.750000000000000
VIA FLAMINIA,66,,1438095.110000000102445,5450236.129999999888241
VIA CAMPO SPORTIVO,38,,1436631.500000000000000,5450042.730000000447035
VIA L. LIVIABELLA,13,,1437117.919999999925494,5448374.410000000149012
VIA DELLA CONCORDIA,44,,1432582.919999999925494,5447456.820000000298023
VIA SAN LEO,2,,1435129.870000000111759,5450909.570000000298023
STRADA DELLA TORRACCIA,4,,1430689.750000000000000,5450583.599999999627471
VIA ABBATI,52,"1",1437364.379999999888241,5451134.290000000037253
VIA N. BIXIO,35,,1437063.259999999776483,5450818.830000001005828
VIA M. FANTI,23,,1432313.709999999962747,5447524.849999999627471
VIA F.LLI DANDOLO,10,,1436878.639999999897555,5449821.679999999701977
VIA A. COSTA,64,,1436182.979999999981374,5449791.059999999590218
VIALE TRENTO,314,,1436718.340000000083819,5453086.830000000074506
VIA ABBATI,14,,1437241.840000000083819,5451255.640000000596046
VIALE B. BUOZZI,11,,1437671.429999999934807,5451204.919999999925494
VIALE F. CAVALLOTTI,31,,1438131.639999999664724,5451195.849999999627471
VIA I. B. BONINI,110,,1436145.379999999888241,5447913.540000000968575
VIA G. MONTANELLI,66,,1431028.219999999972060,5447039.919999999925494
VIA PADRE M. KOLBE,80,,1438690.469999999972060,5451005.860000000335276
VIALE D. BRAMANTE,19,,1437243.539999999804422,5450954.559999999590218
VIA C. VALENTINI,22,,1438188.250000000000000,5450701.769999998621643
VIA G. BECCI,20,,1434727.000000000000000,5449411.950000000186265
VIALE G. VANZOLINI,35,,1438043.459999999962747,5451359.459999999962747
STRADA DEI PIOPPI,28,,1431065.790000000037253,5450051.019999999552965
VIA DEL RIO,10,,1436169.100000000325963,5447251.259999999776483
VIA S. LEVI NATHAN,22,,1437353.320000000065193,5451878.290000000037253
STRADA DELLA CHIUSA,5,,1426023.860000000102445,5442906.360000000335276
VIA P. GAI,2,C,1436895.239999999990687,5450614.759999999776483
VIALE TRIESTE,140,,1438197.189999999944121,5451969.440000000409782
VIA CANALE,41,,1436462.090000000083819,5451896.980000000447035
VIALE DEI PARTIGIANI,62,,1437188.070000000065193,5452260.810000000521541
VIA DEI CORDARI,16,,1436774.179999999934807,5452166.169999999925494
VIALE XXIV MAGGIO,75,,1437105.229999999981374,5450808.029999999329448
VIA F. COMMANDINO,42,,1438439.550000000046566,5449775.650000000372529
VIA L. LAURANA,3,,1436272.659999999916181,5452432.889999999664724
LUNGOMARE N. SAURO,27,,1438394.689999999944121,5451851.410000000149012
VIA LAZIO,13,A,1433685.699999999953434,5450433.650000000372529
VIALE VENEZIA,103,"1",1436713.939999999944121,5452582.950000000186265
VIA T. GEMINIANI,13,"1",1437427.989999999990687,5449453.389999999664724
VIA LAGO MAGGIORE,62,,1429516.520000000018626,5445014.900000000372529
VIALE DEI PARTIGIANI,51,,1437202.530000000027940,5452209.009999999776483
VIA CLITUNNO,30,,1432132.320000000065193,5452305.030000000260770
VIA DELLOMBRA,3,,1437461.800000000046566,5451330.950000000186265
CORSO UNDICI SETTEMBRE,166,,1437005.250000000232831,5451836.899999999441206
VIA M. MINGHETTI,68,,1436288.239999999990687,5449311.589999999850988
VIA L. GALVANI,34,,1438483.000000000000000,5450209.269999999552965
VIA U. COMANDINI,19,,1436340.879999999888241,5449605.849999999627471
VIA D. DAMBROSI,7,,1437154.239999999990687,5448347.450000001117587
VIA G. ROMITA,8,,1433331.729999999981374,5447873.500000000000000
VIA LAGO MAGGIORE,297,,1427782.739999999990687,5443906.900000000372529
VIA G. PIERGIOVANNI,36,,1434468.510000000009313,5443358.820000000298023
VIA M. MINGHETTI,58,,1436346.709999999962747,5449305.049999999813735
VIA A. COSTA,235,,1436082.810000000055879,5449078.360000000335276
VIA M. MARGOTTI,22,,1432617.530000000260770,5447266.099999999627471
VIA BRIGATA G.A.P.,33,,1431813.030000000027940,5447143.180000000633299
VIA F. DE SANCTIS,24,,1437293.250000000232831,5450112.480000000447035
VIA C. ARMELLINI,8,,1432695.290000000270084,5447784.990000000223517
VIA G. MONTANELLI,73,,1430938.129999999888241,5446978.950000000186265
STRADA PONTE MOROTTO,20,,1434436.370000000111759,5446009.740000001154840
VIA G. DI VITTORIO,43,,1432879.010000000009313,5447856.540000000037253
VIA B. TELESIO,10,,1438117.770000000018626,5449584.690000000409782
VIA V. DE SICA,12,"1",1436179.820000000065193,5448529.269999999552965
VIA ADAMELLO,19,,1434682.610000000102445,5451554.120000000111759
VIA C. VALAZZI,9,D,1436042.500000000000000,5451852.370000000111759
VIA E. CAVIGLIA,6,,1437365.889999999897555,5451202.759999999776483
VIA T. VITI,35,,1437416.169999999925494,5448818.719999999739230
VIA DEL CINEMA,3,,1436647.959999999962747,5448580.730000000447035
VIA F.LLI CERVI,22,,1433068.610000000102445,5447639.969999999739230
VIA DEL CANARINO,17,,1440392.800000000046566,5447225.009999999776483
VIA C. MENOTTI,128,,1437157.409999999916181,5450046.090000000782311
VIA L. SANFELICE,54,,1437544.060000000055879,5449987.070000000298023
VIA M. BONI,52,,1435988.479999999981374,5447308.599999999627471
VIA DEL RIO,22,,1436176.860000000102445,5447234.040000000968575
VIA C. TREVES,26,,1436310.330000000074506,5449832.740000000223517
VIA L. MERCANTINI,7,,1437330.379999999888241,5450085.110000000335276
VIA FLAMINIA,134,,1438234.260000000009313,5449864.519999999552965
VIA CESENA,52,,1434595.999999999767169,5451435.620000000111759
VIA BUCCARI,44,"1",1435323.889999999897555,5451429.480000000447035
VIA PENNABILLI,33,,1435156.649999999906868,5451086.660000000149012
VIALE D. BRAMANTE,29,,1437162.310000000055879,5450976.669999999925494
STRADA DI RONDELLO,20,,1435283.840000000083819,5443392.150000000372529
STRADA DI MONTEBACCHINO,40,,1427758.820000000065193,5454856.000000000000000
VIALE TRIESTE,48,,1438897.840000000083819,5451245.900000000372529
VIA G. PASSERI,5,,1437075.729999999981374,5451198.120000000111759
STRADA DEI GUAZZI,15,,1436374.320000000065193,5440454.599999999627471
VIA ARNO,2,,1431830.659999999916181,5452675.660000000149012
VIA R. LEONCAVALLO,12,,1435578.449999999953434,5449743.690000000409782
VIA U. TOMBESI,59,,1436287.050000000046566,5449438.040000000037253
VIALE DEI PARTIGIANI,16,,1437476.830000000074506,5452023.990000000223517
VIA REDIPUGLIA,5,,1435259.120000000111759,5451669.589999999850988
VIA TOSCANA,3,"3",1433691.550000000046566,5450194.259999999776483
VIA F. ORSINI,10,,1437253.830000000074506,5450200.580000000074506
VIALE F. CAVALLOTTI,15,,1437984.830000000074506,5451150.159999999217689
VIA G. ROMITA,25,,1433190.540000000037253,5447774.299999999813735
VIA G. ANDREOLI,7,,1432910.709999999962747,5447571.190000000409782
VIA P. TETTAMANZI,12,,1433153.320000000065193,5447587.299999999813735
VIA VINCENZO ROSSI,57,,1436968.820000000065193,5450340.870000000111759
STRADA DEI TREPONTI,85,,1428117.830000000074506,5452908.240000000223517
VIA D. MANIN,23,,1436947.270000000018626,5452264.190000000409782
VIA M. LUTHER KING,7,,1439005.419999999925494,5449884.879999999888241
VIA S. QUASIMODO,10,,1440210.800000000046566,5449130.269999999552965
VIA L. AGOSTINI,136,,1436181.610000000335276,5452670.090000000782311
VIA TARO,12,,1431944.540000000037253,5452456.209999999962747
VIA G. BLUM,70,,1436080.850000000093132,5452271.299999999813735
VIA N. PALLI,2,,1438455.340000000083819,5450686.339999999850988
VIA G. PIERGIOVANNI,26,,1434398.599999999860302,5442913.209999999962747
VIA DEL CARDELLINO,9,,1440335.979999999981374,5447439.429999999701977
STRADA ROMAGNA,155,A,1430533.699999999953434,5454388.769999999552965
VIA L. RIZZO,4,,1438412.030000000027940,5450952.059999999590218
VIA S. MACCI,56,,1435726.020000000018626,5448109.570000000298023
VIA CANONICA,6,,1437688.120000000111759,5451620.209999999962747
VIA B. RICASOLI,2,,1436427.479999999981374,5449489.459999999962747
VIA L. MANARA,58,,1437296.870000000344589,5450383.400000000372529
VIA L. TOMASINI,22,,1437194.120000000344589,5448467.799999999813735
VIA F. TUMIATI,69,,1438318.870000000111759,5449433.790000000037253
VIA MONTE BIANCO,67,,1425042.129999999888241,5446969.530000000260770
STRADA DELLE MARCHE,90,,1439786.560000000055879,5450283.969999999739230
VIA P. MARONCELLI,20,,1436762.989999999990687,5450100.709999999962747
VIA J. F. KENNEDY,16,,1438483.959999999962747,5449499.599999998696148
VIA MONTE CRISTALLO,38,,1424797.620000000111759,5446253.870000000111759
VIA C. FORLANINI,13,,1438116.129999999888241,5449533.629999999888241
VIA S. QUASIMODO,26,,1440328.370000000111759,5449176.980000000447035
VIA M. G. FARA,10,,1434838.229999999981374,5448906.160000000149012
VIA M. PATERNI,70,,1436912.300000000046566,5452633.209999999962747
VIA V. LOCCHI,4,,1438453.590000000083819,5450722.950000000186265
VIA LAGO MAGGIORE,146,,1428925.110000000102445,5444708.910000000149012
VIA C. GOLGI,5,,1438014.479999999981374,5449816.849999999627471
VIA DELLABBONDANZA,28,,1437537.250000000000000,5451848.250000000000000
VIA G. TORELLI,6,,1437445.639999999897555,5448989.780000000260770
VIA T. VITI,41,,1437395.810000000055879,5448799.500000000000000
VIA FERMO,28,,1434653.830000000074506,5450379.599999999627471
VIA R. LIVERANI,4,,1437243.040000000037253,5449141.920000000856817
STRADA DEI TREPONTI,96,"4",1427938.129999999888241,5453105.940000000409782
VIA L. DELLA ROBBIA,15,,1437134.429999999934807,5452028.610000000335276
VIALE TRIESTE,198,,1437838.000000000000000,5452303.940000000409782
VIA F. MENGARONI,32,,1436863.060000000288710,5451669.490000000223517
VIA L. GUIDI,2,,1437159.729999999981374,5450963.650000000372529
VIA A. UGOLINI,24,,1438089.159999999916181,5450526.070000000298023
VIA A. POLIZIANO,40,,1438349.480000000214204,5448499.230000000447035
VIA P. FASTIGGI,10,,1433407.330000000074506,5447582.619999999180436
VIA FAZI,29,,1436836.559999999823049,5451301.750000000000000
VIA GABICCE,14,,1435146.439999999944121,5451197.349999999627471
VIA PANTANO,111,,1437391.199999999953434,5448609.520000000484288
VIA L. VALERIO,4,,1432705.979999999981374,5447411.490000000223517
VIA L. NEGRELLI,83,,1438658.709999999962747,5449448.389999999664724
VIA G. ZANARDELLI,21,,1436956.100000000093132,5449325.589999999850988
VIA P. FASTIGGI,325,,1432170.500000000000000,5447142.759999999776483
VIALE C. BATTISTI,183,,1437325.129999999888241,5452449.259999998845160
VIA L. GALVANI,50,,1438506.959999999962747,5450219.480000000447035
VIA G. LANZA,50,,1436769.750000000000000,5449525.259999999776483
VIA G. B. LULLI,1,,1435038.689999999944121,5449322.440000000409782
VIA PANTANO,39,,1437112.979999999981374,5449249.080000000074506
STRADA LUNGA,7,,1433495.969999999972060,5441613.830000000074506
STRADA DELLA LANTERNA,1,,1427266.519999999785796,5457962.650000000372529
VIALE XI FEBBRAIO,64,,1437266.800000000046566,5451021.740000000223517
VIA VITTORIO VENETO,39,,1434773.770000000018626,5451692.190000000409782
VIA S. MERLONI,2,,1438761.110000000102445,5449237.140000000596046
STRADA DEI CACCIATORI,65,,1432670.540000000037253,5448407.580000000074506
VIA CATTOLICA,14,,1435029.969999999972060,5451195.720000000670552
VIA M. DAZEGLIO,8,,1437696.580000000074506,5451144.219999999739230
VIA FABRIANO,29,,1434852.070000000065193,5450926.440000000409782
VIA P. TOGLIATTI,27,,1434880.939999999711290,5449593.160000000149012
VIA DELLIRIDE,1,,1434461.000000000000000,5443724.629999999888241
VIALE RIMEMBRANZA,14,,1434885.000000000000000,5443536.940000000409782
VIALE MONFALCONE,41,,1436928.340000000083819,5452569.919999999925494
VIALE TRENTO,197,,1437476.139999999897555,5452460.459999999962747
STRADA DELLARZILLA,38,,1435394.979999999748543,5440947.759999999776483
VIA SABOTINO,21,,1434246.689999999944121,5451549.179999998770654
STRADA S.MARIA ARZILLA,37,,1433836.580000000074506,5439990.790000000037253
STRADA PANORAMICA ADRIATICA,122,,1435786.290000000037253,5452880.280000000260770
CORSO UNDICI SETTEMBRE,136,,1437105.120000000111759,5451816.959999999962747
VIA E. VITERBO,53,,1434760.560000000055879,5449426.799999999813735
VIA LIRI,4,,1432389.760000000009313,5451663.780000000260770
VIA DEI FRUTTETI,24,,1428165.169999999925494,5449309.360000000335276
VIA ANCONA,7,,1436678.459999999962747,5452471.120000000111759
VIA NEVIERA,16,,1436809.439999999944121,5451859.000000000000000
VIA MONTE BIANCO,24,"1",1425406.360000000102445,5446553.290000000037253
VIA PO,51,"2",1431656.659999999916181,5453007.030000000260770
STRADA M. MALPIGHI,46,,1439723.330000000074506,5449354.809999999590218
STRADA DELLA GROTTACCIA,15,,1434584.639999999897555,5441480.980000000447035
VIA P. BONFANTE,4,,1438000.229999999981374,5450091.169999999925494
VIA F. COMMANDINO,19,,1438395.760000000009313,5449785.500000000000000
VIA PASUBIO,33,,1439416.139999999897555,5443936.379999999888241
STRADA CERRETO,23,,1437274.270000000018626,5442582.910000000149012
VIALE TRENTO,247,,1437022.739999999990687,5452865.580000000074506
VIA J. F. KENNEDY,31,,1438681.639999999897555,5449699.919999999925494
STRADA FABBRECCIA,15,,1433983.619999999878928,5448108.019999999552965
VIA T. DIPLOVATAZIO,3,,1436033.550000000046566,5452362.830000000074506
VIA E. MANCINI,13,,1437140.510000000009313,5450607.320000000298023
VIA F. SALVATORI,32,,1438346.449999999953434,5449817.709999999962747
VIALE A. CECCHI,33,,1436720.049999999813735,5452283.629999999888241
VIA G. BLUM,18,,1436137.090000000083819,5452039.429999999701977
VIA PONTE VECCHIO,24,,1436063.639999999897555,5451660.970000000670552
VIA A. CANTORE,8,,1436444.449999999953434,5450202.459999999962747
VIA DELLARCO,22,,1436912.740000000223517,5451273.410000001080334
VIA G. JONNI,16,,1432365.480000000214204,5447735.150000000372529
VIA DEI GIRASOLI,38,,1441527.199999999953434,5446158.559999998658895
VIA E. BRIZIO,5,,1439480.380000000121072,5443571.120000000111759
VIA L. DELLA ROBBIA,47,,1437042.050000000046566,5452073.070000000298023
STRADA ADRIATICA,115,,1435129.290000000037253,5451594.580000000074506
STRADA BORGO GINESTRETO,25,,1426964.419999999925494,5439347.320000000298023
VIA LAGO MISURINA,28,,1429283.500000000000000,5444390.290000000037253
VIA DELLA MATERNITA,28,,1437124.419999999925494,5451358.080000000074506
VIA FAENZA,20,,1435037.040000000037253,5451091.949999999254942
VIA G. GIUSTI,9,,1437636.659999999683350,5451106.950000000186265
VIA A. FAGGI,35,,1436777.330000000074506,5450351.869999999180436
VIA F. FILZI,8,,1436791.979999999981374,5450311.049999998882413
VIA A. PONCHIELLI,7,,1435780.760000000009313,5449829.349999999627471
VIALE TRENTO,207,,1437438.179999999934807,5452498.599999999627471
VIALE DELLA VITTORIA,35,,1438227.469999999972060,5451382.879999999888241
VIA E. BRIZIO,7,,1439484.250000000000000,5443564.790000000037253
STRADA DI CASALE,26,,1438958.260000000009313,5442510.030000000260770
VIA F. TUMIATI,97,,1438374.860000000102445,5449270.160000000149012
VIA VENTURINI,58,"1",1437018.159999999916181,5451316.290000000037253
VIA E. L. MORSELLI,74,,1437372.600000000093132,5451050.980000000447035
VIA M. G. FARA,6,,1434779.330000000074506,5448914.679999999701977
VIA M. M. BOIARDO,16,,1438354.659999999916181,5448715.160000000149012
VIA SOLFERINO,32,,1436033.560000000055879,5450090.099999999627471
VIA C. MENOTTI,125,,1437196.439999999944121,5449954.759999999776483
VIA A. COSTA,252,,1436049.219999999972060,5449064.620000001043081
VIA P. BEMBO,5,,1438326.820000000065193,5448747.700000000186265
VIA ICARO,11,,1432143.189999999944121,5451071.309999999590218
VIA O. GIANSANTI,23,,1437621.729999999981374,5450885.879999999888241
VIA C. VALAZZI,36,,1435962.760000000009313,5451927.080000000074506
VIA MODENA,11,,1434471.300000000046566,5451375.370000000111759
VIA CARPEGNA,19,,1435087.939999999944121,5451114.169999999925494
VIA N. RICCIOTTI,10,,1437102.250000000000000,5450256.690000000409782
VIA G. GROSSI,19,,1434894.919999999925494,5449359.459999999962747
VIA F. PARRI,32,,1432754.300000000046566,5447325.750000000000000
VIA C. CANGIOTTI,9,,1433092.370000000111759,5447946.179999999701977
VIA G. MONTANELLI,45,,1431129.510000000009313,5446705.549999999813735
VIA DELLE CONTRAMINE,26,,1437090.409999999916181,5451073.290000000037253
VIA I. B. BONINI,94,,1436103.070000000065193,5447965.750000000000000
STRADA VALLE TRESOLE,37,,1436251.879999999888241,5444894.570000000298023
STRADA DELLA VALLE,26,,1427812.840000000083819,5440852.559999999590218
VIALE TRENTO,104,,1438173.790000000037253,5451796.620000000111759
VIA D. MAZZA,108,,1436912.530000000027940,5451387.629999999888241
VIA L. GUIDI,26,,1437133.360000000102445,5450877.709999999962747
VIA R. SERRA,19,,1433436.230000000214204,5447749.360000000335276
VIA R. LIVERANI,70,,1437399.659999999916181,5449264.959999999962747
VIA G. LANZA,132,,1436663.229999999981374,5449065.570000000298023
VIA A. BATTELLI,27,,1438510.399999999906868,5451069.339999999850988
VIA G. ARCANGELI,15,,1437903.419999999925494,5450175.580000000074506
VIA A. TOSCANINI,23,,1434988.649999999906868,5449846.559999999590218
VIA C. BELGIOIOSO,78,,1437205.439999999944121,5449491.949999999254942
VIA ISONZO,25,,1435274.229999999981374,5451390.139999999664724
VIA DEL CARSO,22,,1435650.050000000046566,5451381.750000000000000
STRADA FORNACE MANCINI,20,,1431737.360000000102445,5452615.379999999888241
CORSO UNDICI SETTEMBRE,262,,1436708.399999999906868,5451827.049999999813735
STRADA PIEVE VECCHIA,1,"1",1427525.010000000009313,5439587.049999999813735
VIA A. POERIO,16,,1437462.959999999962747,5450369.589999999850988
VIA P.F. CALVI,15,,1437228.360000000335276,5450271.469999999739230
VIA SOLFERINO,62,,1435712.110000000102445,5449719.719999999739230
VIA SOLFERINO,45,,1435764.590000000316650,5449709.299999999813735
VIA MONTE ARGENTARIO,101,,1424469.050000000046566,5446003.280000000260770
STRADA DEL FOGLIA,51,,1425376.060000000055879,5445810.429999999701977
VIA U. COMANDINI,11,,1436348.610000000102445,5449702.250000000931323
VIA P. BEMBO,10,,1438325.910000000149012,5448699.250000000000000
VIA A. FRATTI,112,"9",1437549.100000000093132,5449429.540000000037253
VIA SAN MARTINO,54,"1",1434797.870000000111759,5449059.200000000186265
VIALE NAPOLI,29,"1",1436702.459999999962747,5452784.280000000260770
VIA S.MARIA FABBRECCE,32,,1433378.250000000000000,5451626.019999999552965
VIA MILANO,95,,1434980.639999999897555,5450823.549999999813735
VIA E. MANCINI,7,,1437139.310000000055879,5450654.290000000037253
STRADA PANORAMICA ADRIATICA,276,,1432907.969999999972060,5454377.610000000335276
VIA PISA,21,,1436712.419999999925494,5453023.429999999701977
VIA DELLA LIBERTA,6,,1426595.060000000055879,5439236.169999999925494
VIA E. DE AMICIS,4,,1427363.290000000037253,5457837.509999999776483
VIA DEL MIRALFIORE,4,,1436663.479999999981374,5450793.240000000223517
VIA LAGO PIEDILUCO,29,"1",1429480.649999999906868,5444793.299999999813735
STRADA LAGO DI LESINA,5,,1430456.020000000018626,5447715.540000000037253
STRADA RIVE DI FIORENZUOLA,6,"1",1428154.909999999916181,5457369.940000000409782
CORSO UNDICI SETTEMBRE,226,,1436818.969999999972060,5451829.610000000335276
VIA N. BIXIO,15,,1437082.250000000000000,5450911.620000000111759
STRADA DI SAN NICOLA,9,,1439421.010000000009313,5447205.290000000037253
VIA MARINA ARDIZIA,161,,1441877.709999999962747,5448118.250000000000000
VIA J. SAARINEN,5,,1433236.429999999701977,5448186.759999999776483
VIA DEI TIGLI,76,,1431732.110000000102445,5450176.690000000409782
VIA F. XANTO AVELLI,8,,1437021.620000000111759,5448857.769999999552965
VIA G. PEPE,21,,1436994.899999999906868,5450110.530000000260770
VIA R. SERRA,62,,1433629.189999999944121,5447938.049999998882413
VIA G. ROMITA,20,,1433261.649999999906868,5447846.390000000596046
VIA GARGATTOLI,5,,1436904.110000000102445,5451409.589999999850988
VIA TOLMINO,12,,1435265.340000000083819,5451333.000000000000000
VIA B. BALDI,48,,1435960.169999999925494,5452931.690000000409782
VIA G. GROSSI,55,,1434754.399999999906868,5449535.769999999552965
VIALE G. OBERDAN,20,"1",1436833.030000000027940,5451233.280000000260770
VIA G. FERRARI,1,,1438074.139999999897555,5450015.290000000037253
VIA G. DINI,1,,1438346.530000000027940,5450362.559999999590218
